formulation,model_case,time_h,global_node_id,layer_id,layer_name,x_global_cm,concentration_ug_cm3,x_skin_cm,x_skin_um
Free KC,Case 1,8.0,156,4,Receptor,2.809696969696969,1.816982817904365,2.3551515151515146,23551.515151515145
Free KC,Case 1,8.0,157,4,Receptor,2.9081818181818178,1.8144554808964815,2.453636363636363,24536.363636363632
Free KC,Case 1,8.0,158,4,Receptor,3.006666666666666,1.812317144765195,2.5521212121212113,25521.212121212113
Free KC,Case 1,8.0,159,4,Receptor,3.1051515151515146,1.8105677196534589,2.65060606060606,26506.0606060606
Free KC,Case 1,8.0,160,4,Receptor,3.203636363636363,1.809207132003527,2.7490909090909086,27490.909090909085
Free KC,Case 1,8.0,161,4,Receptor,3.3021212121212113,1.8082353245799552,2.8475757575757568,28475.75757575757
Free KC,Case 1,8.0,162,4,Receptor,3.40060606060606,1.8076522564874933,2.9460606060606054,29460.606060606053
Free KC,Case 1,8.0,163,4,Receptor,3.4990909090909086,1.807457903183875,3.044545454545454,30445.45454545454
Free KC,Case 1,12.0,0,1,Donor,0.0,1029.1290466784756,-0.45454545454545453,-4545.454545454545
Free KC,Case 1,12.0,1,1,Donor,0.022727272727272728,1029.128970599679,-0.4318181818181818,-4318.181818181818
Free KC,Case 1,12.0,2,1,Donor,0.045454545454545456,1029.1287423632984,-0.40909090909090906,-4090.9090909090905
Free KC,Case 1,12.0,3,1,Donor,0.06818181818181818,1029.128361969394,-0.38636363636363635,-3863.6363636363635
Free KC,Case 1,12.0,4,1,Donor,0.09090909090909091,1029.1278294180527,-0.36363636363636365,-3636.3636363636365
Free KC,Case 1,12.0,5,1,Donor,0.11363636363636365,1029.1271447093982,-0.3409090909090909,-3409.090909090909
Free KC,Case 1,12.0,6,1,Donor,0.13636363636363635,1029.1263078435866,-0.3181818181818182,-3181.818181818182
Free KC,Case 1,12.0,7,1,Donor,0.1590909090909091,1029.125318820816,-0.2954545454545454,-2954.545454545454
Free KC,Case 1,12.0,8,1,Donor,0.18181818181818182,1029.1241776413187,-0.2727272727272727,-2727.272727272727
Free KC,Case 1,12.0,9,1,Donor,0.20454545454545456,1029.1228843053511,-0.24999999999999997,-2499.9999999999995
Free KC,Case 1,12.0,10,1,Donor,0.2272727272727273,1029.1214388132212,-0.22727272727272724,-2272.7272727272725
