time_h,Q1_donor_ug_cm2,Q2_SC_ug_cm2,Q3_EP_ug_cm2,Q4_receptor_ug_cm2,Q_total_ug_cm2,formulation,model_case,C_receptor_model_ug_mL,C_receptor_model_ug_cm3
10.0,470.4723706003215,0.932735528910938,6.1188455779218645,7.975478956740113,485.4994306638944,Free KC,Case 1,2.6993928776658844,2.6993928776658844
10.2,470.2019853247346,0.9325645303625456,6.136260716455107,8.228620092294602,485.4994306638469,Free KC,Case 1,2.7850714158535577,2.7850714158535577
10.4,469.9319062261495,0.932372694452713,6.152450783948322,8.482700959216645,485.4994306637672,Free KC,Case 1,2.871068016965634,2.871068016965634
10.6,469.6621242637133,0.9321612526818636,6.167487271329789,8.737657875910863,485.4994306636359,Free KC,Case 1,2.9573611272313687,2.9573611272313687
10.8,469.3926309328247,0.931931362801957,6.181437388697873,8.993430979164549,485.4994306634891,Free KC,Case 1,3.0439304852556934,3.0439304852556934
11.0,469.12341820332415,0.9316841172965574,6.194364558809891,9.249963783934994,485.4994306633656,Free KC,Case 1,3.1307569730241522,3.1307569730241522
11.2,468.8544785223068,0.931420543009946,6.206328393509657,9.5072032044244,485.4994306632508,Free KC,Case 1,3.217822623035951,3.217822623035951
11.4,468.58580475858,0.9311416087836286,6.21738513840502,9.765099157399591,485.4994306631682,Free KC,Case 1,3.305110484042939,3.305110484042939
11.6,468.3173902025682,0.9308482254782566,6.227587672662379,10.023604562408844,485.49943066311766,Free KC,Case 1,3.3926046211229934,3.3926046211229934
11.8,468.04922852121285,0.9305412521652348,6.23698586953718,10.282675020172428,485.4994306630877,Free KC,Case 1,3.4802900068275915,3.4802900068275915
12.0,467.7813137524772,0.9302214968819956,6.245626640292874,10.54226877340757,485.4994306630596,Free KC,Case 1,3.5681525079225627,3.5681525079225627
12.2,467.5136402706788,0.9298897214130338,6.253554210878377,10.802346460044705,485.4994306630148,Free KC,Case 1,3.656178801861285,3.656178801861285
12.4,467.2462027766939,0.929546642633306,6.260810200540858,11.062871043089205,485.49943066295725,Free KC,Case 1,3.744356353045577,3.744356353045577
12.6,466.9789962733881,0.9291929358727672,6.267433817664472,11.323807635953017,485.4994306628784,Free KC,Case 1,3.832673353707175,3.832673353707175
12.8,466.7120160494611,0.9288292371435444,6.273461989045696,11.585123387132793,485.4994306627832,Free KC,Case 1,3.9211186848757147,3.9211186848757147
13.0,466.44525766043273,0.9284561457743772,6.2789295114268935,11.846787345046456,485.4994306626804,Free KC,Case 1,4.009681870631109,4.009681870631109
13.2,466.1787169207735,0.9280742254922364,6.283869114228271,12.108770402081278,485.4994306625753,Free KC,Case 1,4.098353059165971,4.098353059165971
13.4,465.9123898756556,0.9276840082841272,6.28831168547278,12.371045093069943,485.4994306624824,Free KC,Case 1,4.18712295457752,4.18712295457752
13.6,465.6462728053477,0.9272859937969808,6.29228623637373,12.63358562688984,485.4994306624083,Free KC,Case 1,4.275982827562715,4.275982827562715
