global_node_id,layer_id,layer_name,local_node_id,x_local_cm,x_global_cm,is_left_boundary,is_right_boundary
75,3,EP/dermis,43,0.03784,0.4943854545454546,False,False
76,3,EP/dermis,44,0.03872,0.49526545454545456,False,False
77,3,EP/dermis,45,0.039599999999999996,0.49614545454545456,False,False
78,3,EP/dermis,46,0.040479999999999995,0.4970254545454546,False,False
79,3,EP/dermis,47,0.041359999999999994,0.4979054545454546,False,False
80,3,EP/dermis,48,0.04224,0.4987854545454546,False,False
81,3,EP/dermis,49,0.04312,0.4996654545454546,False,False
82,3,EP/dermis,50,0.044,0.5005454545454546,False,False
83,3,EP/dermis,51,0.044879999999999996,0.5014254545454546,False,False
84,3,EP/dermis,52,0.045759999999999995,0.5023054545454546,False,False
85,3,EP/dermis,53,0.046639999999999994,0.5031854545454546,False,False
86,3,EP/dermis,54,0.04751999999999999,0.5040654545454546,False,False
87,3,EP/dermis,55,0.0484,0.5049454545454546,False,False
88,3,EP/dermis,56,0.04928,0.5058254545454546,False,False
89,3,EP/dermis,57,0.050159999999999996,0.5067054545454546,False,False
90,3,EP/dermis,58,0.051039999999999995,0.5075854545454546,False,False
91,3,EP/dermis,59,0.051919999999999994,0.5084654545454546,False,False
92,3,EP/dermis,60,0.05279999999999999,0.5093454545454545,False,False
93,3,EP/dermis,61,0.05368,0.5102254545454545,False,False
94,3,EP/dermis,62,0.05456,0.5111054545454545,False,False
95,3,EP/dermis,63,0.055439999999999996,0.5119854545454546,False,False
96,3,EP/dermis,64,0.056319999999999995,0.5128654545454546,False,False
97,3,EP/dermis,65,0.057199999999999994,0.5137454545454546,False,False
98,3,EP/dermis,66,0.05807999999999999,0.5146254545454546,False,False
99,3,EP/dermis,67,0.05895999999999999,0.5155054545454546,False,False
100,3,EP/dermis,68,0.05984,0.5163854545454546,False,False
101,3,EP/dermis,69,0.060719999999999996,0.5172654545454546,False,False
102,3,EP/dermis,70,0.061599999999999995,0.5181454545454546,False,False
103,3,EP/dermis,71,0.062479999999999994,0.5190254545454546,False,False
104,3,EP/dermis,72,0.06336,0.5199054545454546,False,False
105,3,EP/dermis,73,0.06423999999999999,0.5207854545454546,False,False
106,3,EP/dermis,74,0.06512,0.5216654545454545,False,False
107,3,EP/dermis,75,0.06599999999999999,0.5225454545454545,False,False
108,3,EP/dermis,76,0.06688,0.5234254545454546,False,False
109,3,EP/dermis,77,0.06776,0.5243054545454546,False,False
110,3,EP/dermis,78,0.06863999999999999,0.5251854545454546,False,False
111,3,EP/dermis,79,0.06952,0.5260654545454546,False,False
112,3,EP/dermis,80,0.07039999999999999,0.5269454545454546,False,False
113,3,EP/dermis,81,0.07128,0.5278254545454546,False,False
114,3,EP/dermis,82,0.07215999999999999,0.5287054545454546,False,False
115,3,EP/dermis,83,0.07304,0.5295854545454546,False,False
116,3,EP/dermis,84,0.07392,0.5304654545454546,False,False
117,3,EP/dermis,85,0.07479999999999999,0.5313454545454546,False,False
118,3,EP/dermis,86,0.07568,0.5322254545454546,False,False
119,3,EP/dermis,87,0.07655999999999999,0.5331054545454545,False,False
120,3,EP/dermis,88,0.07744,0.5339854545454545,False,False
121,3,EP/dermis,89,0.07831999999999999,0.5348654545454545,False,False
122,3,EP/dermis,90,0.07919999999999999,0.5357454545454545,False,False
123,3,EP/dermis,91,0.08008,0.5366254545454546,False,False
124,3,EP/dermis,92,0.08095999999999999,0.5375054545454546,False,False
125,3,EP/dermis,93,0.08184,0.5383854545454546,False,False
126,3,EP/dermis,94,0.08271999999999999,0.5392654545454546,False,False
127,3,EP/dermis,95,0.0836,0.5401454545454546,False,False
128,3,EP/dermis,96,0.08448,0.5410254545454546,False,False
129,3,EP/dermis,97,0.08535999999999999,0.5419054545454546,False,False
130,3,EP/dermis,98,0.08624,0.5427854545454546,False,False
131,3,EP/dermis,99,0.08711999999999999,0.5436654545454546,False,False
132,3,EP/dermis,100,0.088,0.5445454545454546,False,True
133,4,Receptor,0,0.0,0.5445454545454544,True,False
134,4,Receptor,1,0.09848484848484847,0.643030303030303,False,False
135,4,Receptor,2,0.19696969696969693,0.7415151515151513,False,False
136,4,Receptor,3,0.2954545454545454,0.8399999999999999,False,False
137,4,Receptor,4,0.39393939393939387,0.9384848484848483,False,False
138,4,Receptor,5,0.4924242424242423,1.0369696969696967,False,False
139,4,Receptor,6,0.5909090909090908,1.1354545454545453,False,False
140,4,Receptor,7,0.6893939393939392,1.2339393939393937,False,False
141,4,Receptor,8,0.7878787878787877,1.332424242424242,False,False
142,4,Receptor,9,0.8863636363636362,1.4309090909090907,False,False
143,4,Receptor,10,0.9848484848484846,1.529393939393939,False,False
144,4,Receptor,11,1.083333333333333,1.6278787878787875,False,False
145,4,Receptor,12,1.1818181818181817,1.726363636363636,False,False
146,4,Receptor,13,1.28030303030303,1.8248484848484845,False,False
