global_element_id,layer_id,layer_name,local_element_id,left_node,right_node,x_left_cm,x_right_cm,element_length_cm
61,3,EP/dermis,31,63,64,0.48382545454545456,0.4847054545454546,0.0008800000000000474
62,3,EP/dermis,32,64,65,0.4847054545454546,0.4855854545454546,0.0008799999999999919
63,3,EP/dermis,33,65,66,0.4855854545454546,0.4864654545454546,0.0008799999999999919
64,3,EP/dermis,34,66,67,0.4864654545454546,0.4873454545454546,0.0008799999999999919
65,3,EP/dermis,35,67,68,0.4873454545454546,0.4882254545454546,0.0008799999999999919
66,3,EP/dermis,36,68,69,0.4882254545454546,0.48910545454545457,0.0008799999999999919
67,3,EP/dermis,37,69,70,0.48910545454545457,0.4899854545454546,0.0008800000000000474
68,3,EP/dermis,38,70,71,0.4899854545454546,0.4908654545454546,0.0008799999999999919
69,3,EP/dermis,39,71,72,0.4908654545454546,0.4917454545454546,0.0008799999999999919
70,3,EP/dermis,40,72,73,0.4917454545454546,0.4926254545454546,0.0008799999999999919
71,3,EP/dermis,41,73,74,0.4926254545454546,0.4935054545454546,0.0008799999999999919
72,3,EP/dermis,42,74,75,0.4935054545454546,0.4943854545454546,0.0008799999999999919
73,3,EP/dermis,43,75,76,0.4943854545454546,0.49526545454545456,0.0008799999999999919
74,3,EP/dermis,44,76,77,0.49526545454545456,0.49614545454545456,0.0008799999999999919
75,3,EP/dermis,45,77,78,0.49614545454545456,0.4970254545454546,0.0008800000000000474
76,3,EP/dermis,46,78,79,0.4970254545454546,0.4979054545454546,0.0008799999999999919
77,3,EP/dermis,47,79,80,0.4979054545454546,0.4987854545454546,0.0008799999999999919
78,3,EP/dermis,48,80,81,0.4987854545454546,0.4996654545454546,0.0008799999999999919
79,3,EP/dermis,49,81,82,0.4996654545454546,0.5005454545454546,0.0008800000000000474
80,3,EP/dermis,50,82,83,0.5005454545454546,0.5014254545454546,0.0008799999999999919
81,3,EP/dermis,51,83,84,0.5014254545454546,0.5023054545454546,0.0008799999999999919
82,3,EP/dermis,52,84,85,0.5023054545454546,0.5031854545454546,0.0008799999999999919
83,3,EP/dermis,53,85,86,0.5031854545454546,0.5040654545454546,0.0008799999999999919
84,3,EP/dermis,54,86,87,0.5040654545454546,0.5049454545454546,0.0008799999999999919
85,3,EP/dermis,55,87,88,0.5049454545454546,0.5058254545454546,0.0008799999999999919
86,3,EP/dermis,56,88,89,0.5058254545454546,0.5067054545454546,0.0008799999999999919
87,3,EP/dermis,57,89,90,0.5067054545454546,0.5075854545454546,0.0008799999999999919
88,3,EP/dermis,58,90,91,0.5075854545454546,0.5084654545454546,0.0008799999999999919
89,3,EP/dermis,59,91,92,0.5084654545454546,0.5093454545454545,0.0008799999999999919
90,3,EP/dermis,60,92,93,0.5093454545454545,0.5102254545454545,0.0008799999999999919
91,3,EP/dermis,61,93,94,0.5102254545454545,0.5111054545454545,0.0008799999999999919
92,3,EP/dermis,62,94,95,0.5111054545454545,0.5119854545454546,0.0008800000000001029
93,3,EP/dermis,63,95,96,0.5119854545454546,0.5128654545454546,0.0008799999999999919
94,3,EP/dermis,64,96,97,0.5128654545454546,0.5137454545454546,0.0008799999999999919
95,3,EP/dermis,65,97,98,0.5137454545454546,0.5146254545454546,0.0008799999999999919
96,3,EP/dermis,66,98,99,0.5146254545454546,0.5155054545454546,0.0008799999999999919
97,3,EP/dermis,67,99,100,0.5155054545454546,0.5163854545454546,0.0008799999999999919
98,3,EP/dermis,68,100,101,0.5163854545454546,0.5172654545454546,0.0008799999999999919
99,3,EP/dermis,69,101,102,0.5172654545454546,0.5181454545454546,0.0008799999999999919
100,3,EP/dermis,70,102,103,0.5181454545454546,0.5190254545454546,0.0008799999999999919
101,3,EP/dermis,71,103,104,0.5190254545454546,0.5199054545454546,0.0008799999999999919
102,3,EP/dermis,72,104,105,0.5199054545454546,0.5207854545454546,0.0008799999999999919
103,3,EP/dermis,73,105,106,0.5207854545454546,0.5216654545454545,0.0008799999999999919
104,3,EP/dermis,74,106,107,0.5216654545454545,0.5225454545454545,0.0008799999999999919
105,3,EP/dermis,75,107,108,0.5225454545454545,0.5234254545454546,0.0008800000000001029
106,3,EP/dermis,76,108,109,0.5234254545454546,0.5243054545454546,0.0008799999999999919
